device_id,timestamp,x,y
11382,1453723418,3029,6217
52106,1453797980,3459,5654
31296,1453731250,3295,6261
31296,1453731277,3267,6247
31296,1453732707,3311,6255
59727,1453730940,2943,6031
62300,1453731773,2607,5563
62300,1453731891,2618,5537
62300,1453731944,2662,5493
62300,1453731947,2673,5478
8484,1453823866,2412,6612
29684,1453725262,2644,5104
8484,1454148659,2789,6132
8484,1454150041,2901,6142
8484,1454150636,2901,6142
8484,1454150816,2866,6140
1070,1453876676,2489,6560
1070,1453876704,2471,6551
778,1453704816,2753,5816
62978,1454173350,3279,5534
62978,1454173362,3279,5534
62978,1454175087,3314,5517
62978,1454175158,3314,5517
26381,1454255707,2610,6571
34028,1453822721,3113,6188
34028,1453823943,3545,6026
11382,1453894705,3015,6247
11382,1453895208,3035,6182
11382,1453895278,3061,6130
11382,1453895567,3075,6033
11382,1453895773,3074,5952
11382,1453895922,3034,5918
59293,1453732988,3655,5728
59293,1453733278,3502,5761
59293,1453733379,3454,5814
59293,1453733971,3468,5827
62588,1454150407,2824,5781
47316,1453874750,3402,6214
47316,1453876415,3376,6210
47316,1453876687,3402,6214
47316,1453876810,3375,6210
47316,1453877400,3383,6216
47316,1453877428,3383,6212
47316,1453877703,3384,6209
29352,1453755780,2377,6934
29352,1453756056,2396,6945
34028,1453701860,3147,6211
8484,1453823981,2413,6600
8484,1453823994,2403,6604
62588,1453821021,2824,5781
62588,1453821978,2824,5781
1070,1453822458,2489,6560
1070,1453823285,2471,6551
5746,1454206102,2910,5598
5746,1454207949,2910,5598
4678,1453878751,3411,5705
40921,1453878318,3784,6017
40921,1453879900,3776,6011
40921,1453881250,3784,6017
16341,1454152647,2973,6633
34028,1454148727,3718,5981
34028,1454150278,4013,5963
62588,1454278635,2831,5768
62588,1454278735,2824,5781
62588,1454279470,2824,5781
53355,1453821282,3171,6438
49617,1453757456,3915,5883
49617,1453757534,3907,5907
49617,1453757558,3834,5821
49617,1453757595,3876,5855
49617,1453757658,3869,5823
49617,1453757815,3869,5823
49617,1453757895,3915,5883
49617,1453757936,3869,5823
49617,1453758625,3915,5883
49617,1453758648,3869,5823
49617,1453758741,3915,5883
49617,1453758757,3869,5823
49617,1453758894,3869,5823
62588,1453756074,2824,5781
62588,1453756717,2799,5759
62588,1453757056,2824,5781
5746,1454153136,2963,5530
5746,1454154258,3050,5384
59829,1454120062,2475,5773
59829,1454120336,2572,5778
59829,1454121767,2569,5802
59829,1454121978,2544,5698
62588,1453833304,2796,5778
26617,1454116409,3235,6249
16422,1454266364,3549,5499
26617,1454264368,3217,6240
26617,1454264505,3219,6241
26617,1454264510,3211,6241
16009,1453722347,4230,6660
16009,1453722458,4332,6596
16009,1453722746,4319,6526
16009,1453722781,4210,6469
25028,1454208239,3897,6145
25028,1454208651,3898,6145
26617,1454206740,3211,6241
40921,1453897567,3778,6009
31372,1453897312,2949,6346
31372,1453897487,2945,6359
46850,1454255394,2222,6415
46850,1454255506,2284,6421
53355,1453755761,3131,6360
53355,1453755881,3208,6454
40634,1454259821,2582,6276
40921,1453881442,3776,6011
9536,1453823250,2907,6440
9536,1453823645,2904,6449
47496,1453821139,3377,6375
61235,1453821173,3352,6193
23248,1453821378,3265,6308
23248,1453821857,3127,6223
23248,1453822338,3035,6183
23248,1453823044,3075,6033
23248,1453823070,3075,6029
23248,1453823303,3074,5952
23248,1453823405,3034,5918
23248,1453823691,3000,5857
13552,1454121097,2421,6086
13552,1454121105,2425,6089
13552,1454121372,2417,6105
13552,1454121396,2425,6089
5969,1453782914,2469,6113
5969,1453783044,2507,6072
31296,1454193603,3279,6247
24624,1453897528,2583,6117
62978,1454173347,3314,5517
62978,1454174253,3249,5500
62978,1454174329,3261,5536
62978,1454174420,3249,5500
62978,1454175059,3344,5511
62978,1454175150,3279,5534
62978,1454175175,3249,5500
16009,1453799124,4345,6752
16009,1453799385,4342,6747
16009,1453801222,4345,6752
16009,1453801282,4345,6752
16009,1453801321,4345,6752
16009,1453801521,4345,6752
16009,1453801530,4342,6747
16009,1453801739,4345,6752
16009,1453801808,4342,6747
16009,1453801883,4345,6752
16009,1453802276,4345,6752
16009,1453802374,4345,6752
12434,1453839263,2511,5918
12434,1453839269,2511,5888
23248,1453875185,3035,6183
23248,1453875520,3052,6197
23248,1453875541,3052,6193
18355,1453820860,3461,5756
30789,1454274123,2993,5850
30789,1454274198,2981,5841
30789,1454274221,3022,5838
30789,1454274369,3022,5838
30789,1454274466,3022,5838
30789,1454275413,3000,5857
30789,1454276196,2993,5850
59727,1453727651,2953,5982
59727,1453727784,2953,6027
59727,1453728473,2968,6014
59727,1453728522,2968,6016
59727,1453728537,2968,6014
59727,1453729570,2968,6016
62300,1453727332,2565,5942
62300,1453727388,2543,5937
62300,1453727495,2511,5906
62300,1453728625,2617,5632
62300,1453729234,2611,5558
62300,1453729417,2607,5563
62300,1453730383,2591,5567
17278,1454150215,2761,5954
16807,1453727821,2943,6084
31296,1453727861,3311,6255
9536,1453832153,2334,5978
50345,1453802696,2851,6526
35379,1453721558,3602,5912
63662,1454256271,8643,-7537
63662,1454256569,8643,-7537
63662,1454258381,9522,-8288
62300,1453898415,3104,6211
62300,1453899325,3109,6186
62300,1453899399,3105,6177
2824,1453859171,3195,6512
778,1453704584,2686,5736
778,1453704712,2734,5788
25028,1453820561,3978,6207
25028,1453821848,4035,6162
25028,1453822138,4054,6181
25028,1453822567,3883,6155
16422,1453823063,3405,5493
26617,1453821225,3217,6240
26617,1453823847,3217,6240
56709,1453756868,3211,6429
56709,1453757508,3208,6427
48840,1453723952,3717,6367
31372,1453844699,2982,6451
59727,1453728414,2968,6014
59727,1453729598,2953,5981
62300,1453726933,2720,6020
